Sample,Legal.sublegal,Count,Family,Genus,Species
101,Sublegal,4,Palinuridae,Panulirus,cygnus
102,Sublegal,1,Palinuridae,Panulirus,cygnus
103,Sublegal,2,Palinuridae,Panulirus,cygnus
105,Sublegal,1,Palinuridae,Panulirus,cygnus
106,Sublegal,2,Palinuridae,Panulirus,cygnus
107,Sublegal,2,Palinuridae,Panulirus,cygnus
109,Sublegal,2,Palinuridae,Panulirus,cygnus
11,Sublegal,17,Palinuridae,Panulirus,cygnus
112,Sublegal,2,Palinuridae,Panulirus,cygnus
114,Sublegal,1,Palinuridae,Panulirus,cygnus
115,Sublegal,3,Palinuridae,Panulirus,cygnus
117,Sublegal,1,Palinuridae,Panulirus,cygnus
119,Legal,2,Palinuridae,Panulirus,cygnus
119,Sublegal,7,Palinuridae,Panulirus,cygnus
120,Sublegal,2,Palinuridae,Panulirus,cygnus
121,Legal,2,Palinuridae,Panulirus,cygnus
121,Sublegal,4,Palinuridae,Panulirus,cygnus
122,Sublegal,3,Palinuridae,Panulirus,cygnus
124,Sublegal,1,Palinuridae,Panulirus,cygnus
125,Sublegal,1,Palinuridae,Panulirus,cygnus
126,Sublegal,1,Palinuridae,Panulirus,cygnus
127,Legal,1,Palinuridae,Panulirus,cygnus
127,Sublegal,2,Palinuridae,Panulirus,cygnus
128,Sublegal,1,Palinuridae,Panulirus,cygnus
129,Legal,2,Palinuridae,Panulirus,cygnus
129,Sublegal,7,Palinuridae,Panulirus,cygnus
13,Legal,1,Palinuridae,Panulirus,cygnus
13,Sublegal,2,Palinuridae,Panulirus,cygnus
130,Sublegal,2,Palinuridae,Panulirus,cygnus
131,Legal,2,Palinuridae,Panulirus,cygnus
131,Sublegal,4,Palinuridae,Panulirus,cygnus
132,Sublegal,3,Palinuridae,Panulirus,cygnus
134,Sublegal,1,Palinuridae,Panulirus,cygnus
135,Sublegal,1,Palinuridae,Panulirus,cygnus
136,Sublegal,1,Palinuridae,Panulirus,cygnus
137,Legal,1,Palinuridae,Panulirus,cygnus
137,Sublegal,2,Palinuridae,Panulirus,cygnus
138,Sublegal,1,Palinuridae,Panulirus,cygnus
139,Legal,2,Palinuridae,Panulirus,cygnus
139,Sublegal,3,Palinuridae,Panulirus,cygnus
14,Sublegal,1,Palinuridae,Panulirus,cygnus
140,Sublegal,1,Palinuridae,Panulirus,cygnus
141,Legal,3,Palinuridae,Panulirus,cygnus
141,Sublegal,1,Palinuridae,Panulirus,cygnus
144,Sublegal,1,Palinuridae,Panulirus,cygnus
147,Legal,3,Palinuridae,Panulirus,cygnus
147,Sublegal,8,Palinuridae,Panulirus,cygnus
150,Legal,2,Palinuridae,Panulirus,cygnus
150,Sublegal,5,Palinuridae,Panulirus,cygnus
155,Sublegal,8,Palinuridae,Panulirus,cygnus
156,Sublegal,3,Palinuridae,Panulirus,cygnus
157,Sublegal,1,Palinuridae,Panulirus,cygnus
158,Legal,2,Palinuridae,Panulirus,cygnus
158,Sublegal,6,Palinuridae,Panulirus,cygnus
16,Sublegal,1,Palinuridae,Panulirus,cygnus
160,Sublegal,1,Palinuridae,Panulirus,cygnus
161,Legal,1,Palinuridae,Panulirus,cygnus
162,Sublegal,8,Palinuridae,Panulirus,cygnus
163,Sublegal,3,Palinuridae,Panulirus,cygnus
164,Sublegal,1,Palinuridae,Panulirus,cygnus
165,Legal,2,Palinuridae,Panulirus,cygnus
165,Sublegal,6,Palinuridae,Panulirus,cygnus
167,Sublegal,1,Palinuridae,Panulirus,cygnus
168,Legal,1,Palinuridae,Panulirus,cygnus
170,Sublegal,16,Palinuridae,Panulirus,cygnus
171,Legal,1,Palinuridae,Panulirus,cygnus
171,Sublegal,1,Palinuridae,Panulirus,cygnus
176,Legal,1,Palinuridae,Panulirus,cygnus
176,Sublegal,1,Palinuridae,Panulirus,cygnus
177,Legal,3,Palinuridae,Panulirus,cygnus
177,Sublegal,3,Palinuridae,Panulirus,cygnus
178,Legal,2,Palinuridae,Panulirus,cygnus
178,Sublegal,3,Palinuridae,Panulirus,cygnus
179,Sublegal,3,Palinuridae,Panulirus,cygnus
18,Sublegal,1,Palinuridae,Panulirus,cygnus
180,Sublegal,1,Palinuridae,Panulirus,cygnus
183,Legal,14,Palinuridae,Panulirus,cygnus
183,Sublegal,18,Palinuridae,Panulirus,cygnus
188,Sublegal,2,Palinuridae,Panulirus,cygnus
19,Sublegal,1,Palinuridae,Panulirus,cygnus
198,Sublegal,2,Palinuridae,Panulirus,cygnus
207,Legal,1,Palinuridae,Panulirus,cygnus
208,Sublegal,1,Palinuridae,Panulirus,cygnus
215,Legal,1,Palinuridae,Panulirus,cygnus
215,Sublegal,2,Palinuridae,Panulirus,cygnus
219,Legal,1,Palinuridae,Panulirus,cygnus
219,Sublegal,1,Palinuridae,Panulirus,cygnus
225,Sublegal,8,Palinuridae,Panulirus,cygnus
226,Sublegal,3,Palinuridae,Panulirus,cygnus
227,Sublegal,1,Palinuridae,Panulirus,cygnus
228,Legal,2,Palinuridae,Panulirus,cygnus
228,Sublegal,6,Palinuridae,Panulirus,cygnus
23,Sublegal,1,Palinuridae,Panulirus,cygnus
230,Sublegal,1,Palinuridae,Panulirus,cygnus
231,Legal,1,Palinuridae,Panulirus,cygnus
232,Sublegal,8,Palinuridae,Panulirus,cygnus
233,Sublegal,3,Palinuridae,Panulirus,cygnus
234,Sublegal,1,Palinuridae,Panulirus,cygnus
235,Legal,2,Palinuridae,Panulirus,cygnus
235,Sublegal,6,Palinuridae,Panulirus,cygnus
237,Sublegal,1,Palinuridae,Panulirus,cygnus
238,Legal,1,Palinuridae,Panulirus,cygnus
24,Legal,1,Palinuridae,Panulirus,cygnus
24,Sublegal,4,Palinuridae,Panulirus,cygnus
240,Sublegal,16,Palinuridae,Panulirus,cygnus
241,Legal,1,Palinuridae,Panulirus,cygnus
241,Sublegal,1,Palinuridae,Panulirus,cygnus
242,Legal,1,Palinuridae,Panulirus,cygnus
246,Legal,1,Palinuridae,Panulirus,cygnus
246,Sublegal,1,Palinuridae,Panulirus,cygnus
247,Legal,3,Palinuridae,Panulirus,cygnus
247,Sublegal,3,Palinuridae,Panulirus,cygnus
248,Legal,2,Palinuridae,Panulirus,cygnus
248,Sublegal,3,Palinuridae,Panulirus,cygnus
249,Sublegal,3,Palinuridae,Panulirus,cygnus
25,Sublegal,1,Palinuridae,Panulirus,cygnus
250,Sublegal,1,Palinuridae,Panulirus,cygnus
252,Legal,12,Palinuridae,Panulirus,cygnus
252,Sublegal,18,Palinuridae,Panulirus,cygnus
253,Legal,2,Palinuridae,Panulirus,cygnus
253,Sublegal,1,Palinuridae,Panulirus,cygnus
258,Sublegal,1,Palinuridae,Panulirus,cygnus
259,Legal,16,Palinuridae,Panulirus,cygnus
259,Sublegal,1,Palinuridae,Panulirus,cygnus
26,Legal,1,Palinuridae,Panulirus,cygnus
26,Sublegal,4,Palinuridae,Panulirus,cygnus
261,Legal,4,Palinuridae,Panulirus,cygnus
261,Sublegal,3,Palinuridae,Panulirus,cygnus
263,Legal,3,Palinuridae,Panulirus,cygnus
263,Sublegal,1,Palinuridae,Panulirus,cygnus
268,Legal,10,Palinuridae,Panulirus,cygnus
268,Sublegal,10,Palinuridae,Panulirus,cygnus
272,Legal,3,Palinuridae,Panulirus,cygnus
272,Sublegal,1,Palinuridae,Panulirus,cygnus
273,Sublegal,2,Palinuridae,Panulirus,cygnus
274,Legal,1,Palinuridae,Panulirus,cygnus
274,Sublegal,4,Palinuridae,Panulirus,cygnus
277,Legal,2,Palinuridae,Panulirus,cygnus
277,Sublegal,2,Palinuridae,Panulirus,cygnus
28,Sublegal,3,Palinuridae,Panulirus,cygnus
280,Legal,1,Palinuridae,Panulirus,cygnus
283,Legal,2,Palinuridae,Panulirus,cygnus
283,Sublegal,3,Palinuridae,Panulirus,cygnus
284,Legal,6,Palinuridae,Panulirus,cygnus
284,Sublegal,2,Palinuridae,Panulirus,cygnus
286,Legal,1,Palinuridae,Panulirus,cygnus
289,Legal,5,Palinuridae,Panulirus,cygnus
289,Sublegal,2,Palinuridae,Panulirus,cygnus
290,Sublegal,3,Palinuridae,Panulirus,cygnus
291,Legal,1,Palinuridae,Panulirus,cygnus
292,Legal,1,Palinuridae,Panulirus,cygnus
292,Sublegal,1,Palinuridae,Panulirus,cygnus
296,Legal,1,Palinuridae,Panulirus,cygnus
296,Sublegal,2,Palinuridae,Panulirus,cygnus
297,Legal,1,Palinuridae,Panulirus,cygnus
297,Sublegal,1,Palinuridae,Panulirus,cygnus
298,Legal,2,Palinuridae,Panulirus,cygnus
298,Sublegal,1,Palinuridae,Panulirus,cygnus
299,Legal,3,Palinuridae,Panulirus,cygnus
299,Sublegal,2,Palinuridae,Panulirus,cygnus
30,Sublegal,1,Palinuridae,Panulirus,cygnus
300,Legal,3,Palinuridae,Panulirus,cygnus
300,Sublegal,2,Palinuridae,Panulirus,cygnus
302,Legal,1,Palinuridae,Panulirus,cygnus
302,Sublegal,2,Palinuridae,Panulirus,cygnus
304,Legal,6,Palinuridae,Panulirus,cygnus
304,Sublegal,9,Palinuridae,Panulirus,cygnus
305,Legal,1,Palinuridae,Panulirus,cygnus
305,Sublegal,1,Palinuridae,Panulirus,cygnus
307,Legal,2,Palinuridae,Panulirus,cygnus
307,Sublegal,3,Palinuridae,Panulirus,cygnus
309,Legal,1,Palinuridae,Panulirus,cygnus
309,Sublegal,2,Palinuridae,Panulirus,cygnus
310,Legal,1,Palinuridae,Panulirus,cygnus
310,Sublegal,4,Palinuridae,Panulirus,cygnus
311,Legal,7,Palinuridae,Panulirus,cygnus
311,Sublegal,1,Palinuridae,Panulirus,cygnus
317,Sublegal,2,Palinuridae,Panulirus,cygnus
318,Sublegal,2,Palinuridae,Panulirus,cygnus
319,Legal,1,Palinuridae,Panulirus,cygnus
319,Sublegal,1,Palinuridae,Panulirus,cygnus
322,Legal,1,Palinuridae,Panulirus,cygnus
329,Sublegal,1,Palinuridae,Panulirus,cygnus
33,Legal,1,Palinuridae,Panulirus,cygnus
33,Sublegal,2,Palinuridae,Panulirus,cygnus
332,Sublegal,1,Palinuridae,Panulirus,cygnus
338,Sublegal,3,Palinuridae,Panulirus,cygnus
34,Sublegal,1,Palinuridae,Panulirus,cygnus
343,Sublegal,1,Palinuridae,Panulirus,cygnus
347,Legal,1,Palinuridae,Panulirus,cygnus
348,Sublegal,1,Palinuridae,Panulirus,cygnus
350,Sublegal,1,Palinuridae,Panulirus,cygnus
355,Sublegal,1,Palinuridae,Panulirus,cygnus
356,Sublegal,1,Palinuridae,Panulirus,cygnus
357,Sublegal,3,Palinuridae,Panulirus,cygnus
360,Sublegal,1,Palinuridae,Panulirus,cygnus
361,Legal,2,Palinuridae,Panulirus,cygnus
361,Sublegal,3,Palinuridae,Panulirus,cygnus
368,Legal,1,Palinuridae,Panulirus,cygnus
372,Legal,2,Palinuridae,Panulirus,cygnus
372,Sublegal,2,Palinuridae,Panulirus,cygnus
376,Sublegal,3,Palinuridae,Panulirus,cygnus
377,Sublegal,1,Palinuridae,Panulirus,cygnus
379,Legal,1,Palinuridae,Panulirus,cygnus
379,Sublegal,1,Palinuridae,Panulirus,cygnus
38,Sublegal,3,Palinuridae,Panulirus,cygnus
380,Legal,2,Palinuridae,Panulirus,cygnus
380,Sublegal,1,Palinuridae,Panulirus,cygnus
382,Sublegal,1,Palinuridae,Panulirus,cygnus
385,Legal,1,Palinuridae,Panulirus,cygnus
385,Sublegal,5,Palinuridae,Panulirus,cygnus
387,Legal,1,Palinuridae,Panulirus,cygnus
387,Sublegal,2,Palinuridae,Panulirus,cygnus
39,Legal,1,Palinuridae,Panulirus,cygnus
39,Sublegal,2,Palinuridae,Panulirus,cygnus
391,Legal,1,Palinuridae,Panulirus,cygnus
391,Sublegal,1,Palinuridae,Panulirus,cygnus
392,Legal,1,Palinuridae,Panulirus,cygnus
40,Legal,3,Palinuridae,Panulirus,cygnus
40,Sublegal,7,Palinuridae,Panulirus,cygnus
41,Legal,1,Palinuridae,Panulirus,cygnus
43,Sublegal,1,Palinuridae,Panulirus,cygnus
44,Legal,1,Palinuridae,Panulirus,cygnus
44,Sublegal,2,Palinuridae,Panulirus,cygnus
46,Legal,2,Palinuridae,Panulirus,cygnus
46,Sublegal,3,Palinuridae,Panulirus,cygnus
48,Legal,3,Palinuridae,Panulirus,cygnus
48,Sublegal,3,Palinuridae,Panulirus,cygnus
49,Legal,1,Palinuridae,Panulirus,cygnus
49,Sublegal,3,Palinuridae,Panulirus,cygnus
50,Sublegal,1,Palinuridae,Panulirus,cygnus
53,Sublegal,1,Palinuridae,Panulirus,cygnus
54,Sublegal,1,Palinuridae,Panulirus,cygnus
56,Sublegal,3,Palinuridae,Panulirus,cygnus
59,Sublegal,1,Palinuridae,Panulirus,cygnus
6,Sublegal,2,Palinuridae,Panulirus,cygnus
61,Sublegal,8,Palinuridae,Panulirus,cygnus
62,Sublegal,9,Palinuridae,Panulirus,cygnus
64,Sublegal,13,Palinuridae,Panulirus,cygnus
66,Sublegal,1,Palinuridae,Panulirus,cygnus
67,Sublegal,1,Palinuridae,Panulirus,cygnus
70,Sublegal,3,Palinuridae,Panulirus,cygnus
74,Sublegal,1,Palinuridae,Panulirus,cygnus
77,Sublegal,1,Palinuridae,Panulirus,cygnus
80,Sublegal,4,Palinuridae,Panulirus,cygnus
81,Sublegal,2,Palinuridae,Panulirus,cygnus
84,Sublegal,1,Palinuridae,Panulirus,cygnus
86,Sublegal,4,Palinuridae,Panulirus,cygnus
88,Sublegal,5,Palinuridae,Panulirus,cygnus
89,Sublegal,1,Palinuridae,Panulirus,cygnus
90,Sublegal,4,Palinuridae,Panulirus,cygnus
91,Sublegal,1,Palinuridae,Panulirus,cygnus
94,Sublegal,1,Palinuridae,Panulirus,cygnus
97,Sublegal,3,Palinuridae,Panulirus,cygnus
99,Sublegal,4,Palinuridae,Panulirus,cygnus
